Column,Row,Position,id
1,1,3,E07C0C954E7543A
1,1,2,E07C0C954E7548E
1,1,1,E07C0C954E7542B
1,1,4,E07C0C954E7549E
1,1,5,E07C0C954E7543B
1,1,6,E07C0C954E754AE
1,1,7,E07C0C954E7544C
1,1,8,E07C0C954E7544B
1,1,9,E07C0C954E7549F
1,2,1,E07C0C954E74786
1,2,2,E07C0C954E74775
1,2,3,E07C0C954E74776
1,2,6,E07C0C954E74798
1,2,5,E07C0C954E74796
1,2,4,E07C0C954E74787
1,2,7,E07C0C954E747A7
1,2,8,E07C0C954E747A8
1,2,9,E07C0C954E746A9
1,3,3,E07C0C954E74699
1,3,2,E07C0C954E74698
1,3,1,E07C0C954E74689
1,3,4,E07C0C954E74679
1,3,5,E07C0C954E74678
1,3,6,E07C0C954E74688
1,3,9,E07C0C954E74669
1,3,8,E07C0C954E74668
1,3,7,E07C0C954E74657
1,4,1,E07C0C954E74645
1,4,2,E07C0C954E74644
1,4,3,E07C0C954E74656
1,4,6,E07C0C954E74635
1,4,5,E07C0C954E74625
1,4,4,E07C0C954E74624
1,4,7,E07C0C954E7458
1,4,8,E07C0C954E74613
1,4,9,E07C0C954E74614
1,5,3,E07C0C954E7563F
1,5,2,E07C0C954E7536A
1,5,1,E07C0C954E7537A
1,5,4,E07C0C954E7536B
1,5,5,E07C0C954E7535A
1,5,6,E07C0C954E7563E
1,5,9,E07C0C954E7547D
1,5,8,E07C0C954E7554C
1,6,2,E07C0C954E75966
1,6,3,E07C0C954E75936
1,6,6,E07C0C954E75946
1,6,5,E07C0C954E75967
1,6,8,E07C0C954E75975
1,6,9,E07C0C954E75935
1,7,3,E07C0C954E7573F
1,7,2,E07C0C954E75947
1,7,5,E07C0C954E75956
1,7,6,E07C0C954E75782
1,7,9,E07C0C954E75957
1,7,8,E07C0C954E75815
1,8,1,E07C0C954E74518
1,8,2,E07C0C954E74634
1,8,3,E07C0C954E7459
1,8,6,E07C0C954E74538
1,8,5,E07C0C954E74528
1,8,4,E07C0C954E74519
1,8,7,E07C0C954E74549
1,8,8,E07C0C954E74548
1,8,9,E07C0C954E74539
1,9,3,E07C0C954E7455B
1,9,2,E07C0C954E7455C
1,9,1,E07C0C954E7456B
1,9,4,E07C0C954E7457D
1,9,5,E07C0C954E7457C
1,9,6,E07C0C954E7456C
1,9,9,E07C0C954E7458D
1,9,8,E07C0C954E7458F
1,9,7,E07C0C954E7459F
1,10,1,E07C0C954E7448F
1,10,2,E07C0C954E7447F
1,10,3,E07C0C954E7447E
1,10,6,E07C0C954E74490
1,10,5,E07C0C954E7449F
1,10,4,E07C0C954E744A0
1,10,7,E07C0C954E745AF
1,10,8,E07C0C954E74529
1,10,9,E07C0C954E744AF
